Data Science,Data Engineer,Data Analyst
tableau,pytorch,sas
pytorch,tensorflow,hadoop
tensorflow,tensorflow,spark
tensorflow,tensorflow,powerbi
tensorflow,tableau,spark
sas,tensorflow,dash
sas,tableau,sas
tensorflow,pytorch,spark
spark,nltk,tensorflow
opencv,tableau,tableau
spark,hadoop,numpy
pandas,spark,powerbi
numpy,hadoop,qliksense
keras,spark,tableau
tensorflow,hadoop,shiny
bokeh,spark,sas
keras,spark,tidyverse
tensorflow,spark,mongodb
pandas,hadoop,powerbi
bokeh,spark,dash
